 ,Acessibilidade,Acessibilidade em edificações,Fiscalização de acessibilidade em edificações,1379
 ,Acessibilidade,Instalações físicas e equipamentos acessíveis,Reclamação de falta de cadeira de rodas em supermercado,1
 ,Acessibilidade,Instalações físicas e equipamentos acessíveis,Reclamação de falta de mobiliário adequado,53
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Avaliação de local com pernilongo/mosquito,6280
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Denúncia de local com escorpião,1956
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Denúncia de local com pombos,2944
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Denúncia de local com roedores/ratos,15252
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Reclamação de local com morcego,1680
 ,Animais,Animais que podem causar doenças e/ou agravos à saúde,Vistoria de colmeia/vespeiro instalado,20249
 ,Animais,Animais silvestres,Entrega voluntária de animais silvestres,1
 ,Animais,Animais silvestres,Resgate de animais silvestres acidentados ou feridos,52
 ,Animais,Animal agressor e/ou invasor,Avaliação de animal agressor em vias públicas,10344
 ,Animais,Animal agressor e/ou invasor,Avaliação de animal invasor de instituições públicas (cães e gatos),2470
 ,Animais,Animal em via pública,Avaliação de animal em sofrimento sem proprietário para eutanásia (morte sem dor),7310
 ,Animais,Animal em via pública,Remoção de animal de grande porte solto,554
 ,Animais,Animal em via pública,Remoção de animal morto em via pública,6936
 ,Animais,Criação inadequada de animais,Denúncia de condições inadequadas de criação,17668
 ,Animais,Registro de animais - RGA,Animal encontrado com registro geral do animal (RGA),192
 ,Bilhete Único,BU Cobrança Carga e Recarga,Bilhete Único - Falha na recarga,1427
 ,Bilhete Único,BU Cobrança Carga e Recarga,Comunicação de erro em cobrança de integração (ônibus e metrô ou trem),7284
 ,Bilhete Único,BU Cobrança Carga e Recarga,Comunicação de problema em posto de recarga,3962
 ,Bilhete Único,BU Cobrança Carga e Recarga,Implantação de pontos de venda e recarga em estabelecimentos comerciais,10
